Date;Time;SensorData;Location
02.05.2016;08:00:50.120;4;Home@Brun;
02.05.2016;08:00:50.217;4;Home@Brun;
02.05.2016;08:00:50.317;4;Home@Brun;
02.05.2016;08:00:50.417;4;Home@Brun;
02.05.2016;08:00:50.517;4;Home@Brun;
02.05.2016;08:00:50.617;4;Home@Brun;
02.05.2016;08:00:50.717;4;Home@Brun;
02.05.2016;08:00:50.817;4;Home@Brun;
02.05.2016;08:00:50.917;4;Home@Brun;
02.05.2016;08:00:51.017;4;Home@Brun;
02.05.2016;08:00:51.117;4;Home@Brun;
02.05.2016;08:00:51.217;4;Home@Brun;
02.05.2016;08:00:51.317;4;Home@Brun;
02.05.2016;08:00:51.417;4;Home@Brun;
02.05.2016;08:00:51.517;4;Home@Brun;
02.05.2016;08:00:51.617;4;Home@Brun;
02.05.2016;08:00:51.717;4;Home@Brun;
02.05.2016;08:00:51.817;4;Home@Brun;
02.05.2016;08:00:51.917;4;Home@Brun;
02.05.2016;08:00:52.017;4;Home@Brun;
02.05.2016;08:00:52.117;4;Home@Brun;
02.05.2016;08:00:52.217;4;Home@Brun;
02.05.2016;08:00:52.318;4;Home@Brun;
02.05.2016;08:00:52.418;4;Home@Brun;
02.05.2016;08:00:52.518;4;Home@Brun;
02.05.2016;08:00:52.618;4;Home@Brun;
02.05.2016;08:00:52.718;4;Home@Brun;
02.05.2016;08:00:52.818;4;Home@Brun;
02.05.2016;08:00:52.918;4;Home@Brun;
02.05.2016;08:00:53.018;4;Home@Brun;
02.05.2016;08:00:53.118;4;Home@Brun;
02.05.2016;08:00:53.218;4;Home@Brun;
02.05.2016;08:00:53.318;4;Home@Brun;
02.05.2016;08:00:53.418;4;Home@Brun;
02.05.2016;08:00:53.518;4;Home@Brun;
02.05.2016;08:00:53.618;4;Home@Brun;
02.05.2016;08:00:53.719;4;Home@Brun;
02.05.2016;08:00:53.819;4;Home@Brun;
02.05.2016;08:00:53.919;4;Home@Brun;
02.05.2016;08:00:54.019;4;Home@Brun;
02.05.2016;08:00:54.119;4;Home@Brun;
02.05.2016;08:00:54.219;4;Home@Brun;
02.05.2016;08:00:54.319;4;Home@Brun;
02.05.2016;08:00:54.419;4;Home@Brun;
02.05.2016;08:00:54.519;4;Home@Brun;
02.05.2016;08:00:54.619;4;Home@Brun;
02.05.2016;08:00:54.719;4;Home@Brun;
02.05.2016;08:00:54.819;4;Home@Brun;
02.05.2016;08:00:54.919;4;Home@Brun;
